Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C104, C112, C120, C121, C122",0402,7,100n,CL05A104KA5NNND
"C103, C105, C106, C109, C110, C114, C115, C116, C118, C124, C125",0805,11,10u,CL21A106KOQNNNG
"C107, C108, C111",0603,3,1u,C0603C105M8PACTU
"C113, C119, C123",CP_EIA-3528-12_Kemet-T,3,68u,T55B686M6R3C0150
C117,0402,1,47p,MCASU105SCG470JFNA01
"D101, D105",D_SOD-523,2,T5V0S5A-7,T5V0S5A-7
D102,D_SOD-323,1,SP4021-01FTG,SP4021-01FTG
D103,0603,1,green,150060GS75000
D104,0603,1,blue,150060BS75000
F101,0603,1,1A5,SF-0603HIA150M-2
"FB101, FB103",0402,2,33,BLM15PX330SN1D
"H101, H102",MountingHole_3.2mm_M3_DIN965,2,MountingHole,
IC101,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,MP2633GR-P,MP2633GR-P
J101,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,USB4105-GF-A
J102,USB-Type-A,1,USB_A,UE27AC5410H
J103,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,603449,
L101,L_Coilcraft_LPS4018,1,1u8,VLCF4020T-1R8N1R9
"L102, L103, L104",1008,3,470n,AOTA-B252010SR47MT
"R101, R102, R108, R112, R118, R119",0402,6,5k1,AC0402FR-075K1L
R103,0603,1,20m,MFSA0603R0200FSM
R105,0402,1,21k5,RK73H1ETTP2152F
"R106, R121",0402,2,300m,MFL0402R3000FP
R107,0402,1,15k,RC0402FR-1315KL
"R109, R120",0402,2,237K,CR0402-FX-2373GLF
R111,0402,1,127k,CRCW0402127KFKED
"R113, R114, R115",0402,3,10k,
R116,0402,1,31k6,CR0402-FX-3162GLF
R117,0402,1,45k,RC0402FR-0745K3L
SW101,OS102011MA1QN1,1,OS102011MA1QN1,OS102011MA1QN1
