Designator,Mid X,Mid Y,Rotation,Layer
C101,177.7,-67.8,90.0,top
C102,175.8,-66.9,90.0,top
C103,235.85,-61.2,0.0,top
C104,238.5,-71.1375,270.0,top
C105,228.3,-83.2,270.0,top
C106,234.1,-82.0,270.0,top
C107,226.55,-83.0,270.0,top
C108,232.35,-81.75,270.0,top
C109,232.35,-71.1875,180.0,top
C110,232.35,-73.1875,180.0,top
C111,235.55,-70.9375,180.0,top
C112,188.9,-44.165,180.0,top
C113,229.9125,-75.8875,180.0,top
C114,235.85,-63.2,0.0,top
C115,230.6,-68.5,270.0,top
C116,228.6,-68.5,270.0,top
C117,228.2125,-71.4375,270.0,top
C118,229.05,-52.95,0.0,top
C119,188.75,-65.05,90.0,top
C120,188.9,-47.0,180.0,top
C121,180.65,-81.3,0.0,top
C122,186.498948,-48.38583,160.0,top
C123,229.65,-50.3,0.0,top
C124,229.05,-58.825,0.0,top
C125,226.6,-68.5,270.0,top
D101,182.55,-70.0,90.0,top
D102,187.1,-68.5,0.0,top
D103,180.2,-85.3,302.0,top
D104,182.1,-87.95,308.0,top
D105,188.8,-49.25,160.0,top
F101,179.8,-68.25,180.0,top
FB101,176.3,-68.3,180.0,top
FB103,189.4,-45.565,270.0,top
IC101,234.7,-67.0375,90.0,top
J101,177.75,-75.5,284.0,top
J102,180.604027,-56.889364,250.0,top
J103,185.85,-71.3,0.0,top
L101,229.55,-63.45,90.0,top
L102,229.65,-80.15,0.0,top
L103,233.85,-78.3,90.0,top
L104,228.1,-55.925,90.0,top
R101,182.5,-81.3,180.0,top
R102,182.5,-82.3,180.0,top
R103,233.2,-61.7,270.0,top
R105,237.5625,-73.2875,90.0,top
R106,233.6,-84.2,180.0,top
R107,236.6125,-73.2875,90.0,top
R108,235.6625,-73.2875,270.0,top
R109,238.65,-64.75,0.0,top
R111,238.65,-65.7,0.0,top
R112,182.95,-84.45,270.0,top
R113,238.65,-67.9,180.0,top
R114,238.65,-66.95,0.0,top
R115,229.1625,-71.4375,90.0,top
R116,227.2625,-71.4375,270.0,top
R117,237.55,-71.1375,270.0,top
R118,238.5125,-73.2875,270.0,top
R119,182.0,-84.45,270.0,top
R120,226.75,-79.4,270.0,top
R121,227.8125,-85.3875,180.0,top
SW101,207.08,-98.39,0.0,top
